Level,Experience,,Unlockables,,,
,Total,Difference,Machine,Parts,Patrol,Misc
1,0,-,V1,L1,Disallowed,
2,100,100,,,,
3,250,150,,,,
4,450,200,,,Moon Palace 40Post,
5,700,250,V2,,,
6,940,240,,,,Car chase play lower limit
7,1230,290,,L2,,
8,1570,340,,,Moon Palace 80Post,
9,1960,390,,,,
10,2400,440,,,,Exp twice Stadium upper limit
11,2830,430,V3 (Some locked),,,1 lap battle room upper limit
12,3340,510,,,,
13,3930,590,,,Koinonia,
14,4600,670,V3,L3,,
15,5320,720,,,,Koinonia admission lower limit
16,6120,800,,,,
17,7000,880,,,,
18,7960,960,,,,
19,9000,1040,,L4,,
20,10120,1120,,,,
21,11320,1200,V4 (Some locked),,,2 lap time battle room upper limit
22,12540,1220,,,,
23,13900,1360,,,,
24,15400,1500,V4,,,
25,17040,1640,,L5,,
26,18820,1780,,,,
27,20830,2010,,,,
28,22817,1987,,,class,
29,25034,2217,,,,
30,27481,2447,,,,"Class admission lower limit
experience value three times Stadium upper limit
optional parts deformation package ? acquisition upper limit"
31,30158,2677,V5 (Some locked),S,,"First floor secret base underground entrance lower limit
3 lap time battle Room upper limit"
32,33185,3027,,,,
33,36465,3280,,,,
34,40095,3630,V5,,,
35,43939,3844,,,,
36,48133,4194,,,,
37,52827,4694,,R,,
38,58021,5194,,,,
39,63715,5694,,,,
40,69909,6194,,,,Semi channel 1 to 3 participation upper limit
41,76603,6694,V6 (Some locked),,,4 lap time Battle Room upper limit
42,83977,7374,,,,
43,92031,8054,,GT,,
44,99976,7945,V6,,,
45,108601,8625,,,,
46,118151,9550,,,ROO / OMD,Orors admission lower limit
47,128381,10230,,,,
48,139291,10910,,,,
49,150881,11590,,GTS,,
50,163151,12270,,,,
51,175406,12255,V7 (Some locked),,,5 lap time battle room upper limit
52,188551,13145,,,,
53,202586,14035,,,,
54,217511,14925,V7,,ROO / OMD,
55,232335,14824,,GTR,,
56,248049,15714,,,,
57,264893,16844,,,,
58,281372,16479,,,,
59,298981,17609,,,,
60,316981,18000,,HGT,,Semi channel 4-5 participation upper limit
61,336981,20000,V8 (Some locked),,,6 lap time battle Room upper limit
62,359211,22230,,,,
63,383671,24460,,,,
64,410361,26690,V8,,,
65,439281,28920,,HGTS,,
66,470431,31150,,,,
67,503811,33380,,,,
68,539421,35610,,,,
69,577261,37840,,,,
70,616341,39080,,HGTR,,Mitoritan D500 effect overlapping upper limit
71,657651,41310,V9 (Some locked),,,"Trice admission lower limit
7 lap time battle Room upper limit"
72,703421,45770,,,,
73,753651,50230,,,,
74,808341,54690,V9,,,
75,867491,59150,,LM,,
76,931101,63610,,,,
77,999171,68070,,,,
78,1067241,68070,,,,
79,1139771,72530,,,,
80,1216761,76990,,EX,,
81,1298211,81450,,,,8 lap time battle Room upper limit
82,1388581,90370,,,,
83,1487871,99290,,,,
84,1596081,108210,,,,
85,1713211,117130,,,,
86,1839261,126050,,,,
87,1974231,134970,,,,
88,2118121,143890,,,,
89,2262011,143890,,,,
90,2414821,152810,,ULTRA,,
91,2576551,161730,,,,
92,2751501,174950,,,,
93,2953531,202030,,,,
94,3168781,215250,,,,
95,3568781,400000,,,,
96,4368781,800000,,,,
97,5968781,1600000,,,,
98,9168781,3200000,,,,
99,15568781,6400000,,,,
100,28368781,12800000,,,,
101,53968781,25600000,,,,
102,94968781,41000000,,,,
103,146968781,52000000,,,,
104,206368781,59400000,,,,
105,271368781,65000000,,,,JPDC active duty highest level
106,340568781,69200000,,,,
107,412368781,71800000,,,,
108,485968781,73600000,,,,The highest level of JPDC that have been confirmed without fraud
109,560968781,75000000,,,,
110,636968781,76000000,,,,
111,713468781,76500000,,,,
112,790218781,76750000,,,,
113,867168781,76950000,,,,
114,944218781,77050000,,,,
115,1021368781,77150000,,,,
116,1098618781,77250000,,,,
117,1175986781,77368000,,,,Confirmation achievers in USDC
118,1253418781,77432000,,,,
119,1330968781,77550000,,,,
120,1408618781,77650000,,,,
121,?,#WERT!,,,,
122,?,#WERT!,,,,
123,?,#WERT!,,,,
124,?,#WERT!,,,,
125,?,#WERT!,,,,
126,?,#WERT!,,,,
127,?,#WERT!,,,,
128,?,#WERT!,,,,
129,?,#WERT!,,,,
130,?,#WERT!,,,,
131,?,#WERT!,,,,Confirmation achievers in the skid rush
132,?,#WERT!,,,,
133,?,#WERT!,,,,
